level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,region,World,243874.7458,198856.8073,206048.8494,237527.5528,287274.5252,361243.83,394444.5378,465285.3632,679497.7462,1077161.559,1162491.561,681550.3926,496583.0176,527533.4596,908071.6379,838261.1783,1360910.717,2191361.767,1717258.084,1288870.228,1437359.145,1709195.888,1366406.602,1571054.873,1498251.51,1863858.775,1547509.209,1732264.692,1064400.351,1329705.112,648576.1858,1914410.779,1568612.869,1556106.484,1608873.894
2,region,Developed economies,231899.9699,189353.8016,185050.0536,204706.1521,244198.8489,312967.2536,339129.9744,405617.2024,642291.2142,1026813.524,1078543.139,626614.1927,460217.8655,491830.0319,801138.9464,735001.1299,1172009.782,1934592.604,1460704.859,1058808.646,1100591.449,1352369.562,1040157.856,1178866.048,1070932.746,1476514.717,1160682.861,1281554.441,690915.8862,933588.5089,268523.0385,1410124.333,1020673.493,1038678.499,1117395.509
3,region,Europe,140954.8678,115352.9952,114893.3022,105635.1083,136072.0315,178042.1253,207854.1153,251371.3724,444405.7282,771547.7109,848016.4872,414548.6638,254867.0849,287682.8872,412820.3887,672124.8557,802250.6317,1357209.074,886547.0992,622000.9319,675119.8387,754937.712,502974.9109,648125.9185,495504.8733,983291.7886,603730.4003,663317.7238,592817.7079,535972.8745,-144819.5707,775594.8132,274559.8841,337454.1757,487481.5702
4,region,European Union,114236.2758,90925.66371,87278.29949,67809.09275,88545.67021,114255.6158,148231.8937,164424.369,298999.4061,526688.8287,558833.2985,337323.4021,183973.9206,194349.3305,263880.2773,491131.7869,594184.4179,905185.9661,567138.4696,510379.1464,483317.4609,544874.6827,392188.2281,490053.6797,576590.9697,917052.1838,515702.9746,466243.3477,400048.5928,550724.0175,-12572.47759,694479.5293,209132.0544,136586.6469,446061.486
5,country,Austria,1701,1293,1760.037229,1178.548218,1241.01585,1083.553079,1889.079775,1998.372652,2768.044225,3300.911864,5509.489589,3021.896896,5780.433862,6859.781905,8029.899487,11145.10272,11974.04223,35840.25022,28708.18455,10998.38939,9585.439037,21912.7925,13109.40191,15605.85457,-727.1923837,8476.403109,-2678.02288,8737.295059,4724.234244,11756.99416,8108.987145,25508.7755,16298.51809,11669.39473,12588.07867
5,country,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,12277.06931,38322.45715,34018.11601,32658.06099,50684.88511,80127.23127,17289.33973,21961.73332,576.1246018,49231.60331,41540.85731,40686.63258,10028.8284,55199.15677,40204.99878,29626.8682,43580.79861,13802.0052,14489.90641,26437.79849,10228.25876,17498.16184,2935.414389
5,country,Belgium / Luxembourg,6314.44,6270.93,11407,4903.56,1371.38,11603,8026.12,7252.12,28845.3,122304.174,86361.71,100646.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,country,Bulgaria,-2.5059999,-6.07,-2.714,-3.2109999,0.18,-8,-28.5,-1.901785319,0.1143511859,17.43077921,3.040353694,7.785165144,27.29283328,26.29695926,-205.6210537,309.7796348,176.7566842,282.2191015,764.7855861,-94.88180048,313.2427679,399.093765,325.1238288,186.744491,267.638604,137.9942596,405.077717,330.5626913,248.6052916,449.469145,235.2064212,382.7133844,584.5960135,700.4559133,638.6074893
5,country,Croatia,0,0,0,17.77577927,6.765991495,7.052791294,26.29396971,251.0787556,162.6331715,64.31181616,47.73607407,145.0966882,589.3021505,143.0278884,402.741597,267.3276128,324.1974434,383.4479992,1542.29451,1175.990174,99.06971128,297.7841255,-52.02061185,-71.73074852,2027.443253,-36.86519283,-816.5363059,587.4738765,249.8500383,-114.8810198,36.8063494,972.4541726,-400.5217903,1179.901539,2509.660282
5,country,Cyprus,4.5839999,14.6419999,14.6809999,12.2639999,6.0949999,15.693,35.17,28.01079141,70.72284524,180.4763767,168.6124931,245.4431786,508.7649985,571.9535158,8517.847026,11016.95065,16806.25058,23840.7202,14370.46598,63108.93139,33871.86378,43625.71261,68870.49395,30452.88532,58462.66257,33522.86048,-798.9843245,29210.36503,79261.70425,118184.7972,-105572.0082,7753.618133,-980.2699014,-2056.199273,-564.7976344
5,country,Czechia,0,0,21,90.1662962,119.620915,36.60792669,152.8832304,25.2378669,127.0770603,89.89505108,42.84374482,165.3516602,206.4633383,206.1646992,1014.299722,-18.74159967,1467.967215,1620.192474,4323.101074,949.4733231,1166.815109,-327.3978718,1790.20733,4019.162867,1619.53163,2487.443468,2181.805996,7560.010489,8662.556097,4128.152732,2989.694208,7734.380863,5674.953975,5970.278761,8316.954608
5,country,Czechoslovakia (former),19.6,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,country,Denmark,1482.23,1851.99,2236.05,1373,4161.78,3070.129249,2517.818741,4209.276761,4477.05732,17014.89628,26549.0886,13360.85606,5700.01938,1138.490544,-10365.44451,12979.93733,13966.72165,12985.04014,18654.40387,5994.276489,4161.066521,13207.80038,27700.81968,7716.740885,10508.02944,11665.43548,2738.527449,12458.48409,-4364.475513,36047.9662,12195.22261,28239.35247,8840.963281,17966.08649,13265.53804
5,country,Estonia,0,0,1.906562017,6.08919975,2.2600885,2.485219353,39.36223029,138.6931095,5.829668303,84.4851042,61.42067431,201.7870086,131.6305115,155.0267823,268.9126595,662.8339178,1016.793009,1684.142244,1141.800598,1375.00248,167.1303061,-1454.065637,1053.539601,437.3811435,-97.04537484,254.4479363,467.8877942,263.400601,-31.26901102,1881.683501,304.526363,-1013.355564,995.737693,1459.991415,740.538681
5,country,Finland,2217.36196,-104.4141373,-736.1911425,1585.432058,4490.81274,1438.524826,3527.099626,5235.398383,18788.4447,6615.129333,24030.25889,8370.42532,7371.201355,-2279.472345,-1079.522949,4222.603592,4804.921588,7202.891385,9296.590618,5681.083236,10167.17679,5011.066858,7543.421895,-2307.442725,1744.746456,-16083.58149,24276.63767,-573.7734549,11455.26777,4865.23762,5856.042106,9155.594244,13274.72768,826.088837,5415.146825
5,country,France,38302.21284,26786.93132,31854.06247,19716.12619,24538.6148,15681.73494,30123.53392,35905.979,49016.29953,126854.4374,161947.6691,52823.68838,23299.60943,18440.6016,22964.74269,68057.00642,76766.84551,110643.0271,103281.1235,100865.7582,48154.80932,51414.9078,35440.33489,33788.43217,57329.98552,84962.83147,62286.64409,33761.48033,95771.94333,52400.37793,21861.64344,53640.83009,53309.5204,72608.23494,40949.68016
5,country,Germany,24234.82265,22937.18741,18599.51334,17196.16892,18859.38415,39048.61387,50804.7077,41798.14424,88824.87057,108688.3821,57085.94435,39889.42202,18942.59282,5568.085423,20311.54073,74543.06571,116680.1833,169319.8807,71506.73161,68541.04992,125450.8142,77928.90298,62164.49054,39530.25965,84725.55897,77173.54932,75424.50909,89415.41555,114143.7364,150084.2024,38433.97304,160831.1354,117532.3307,78157.9603,38524.91963
5,country,Greece,10.706,-25.741,46.4979999,-22.4319999,15.786,41.5949999,-25.3679999,155.663,-275.6,552.1,2136.539525,616.1018693,652.4747071,412.2866617,1029.222775,1467.815749,4045.081109,5245.963117,2417.548614,2055.031444,1557.258177,1772.421127,677.5074715,-785.5767315,3019.14365,1578.164873,-1666.990119,168.3397488,476.8959059,641.5321804,548.5780794,1109.220172,3197.815177,4511.656299,2617.794476
5,country,Hungary,0,0,0.155,10.705,48.9979999,59.09325992,-3.639115083,461.4864901,278.1252041,249.9780726,620.4809713,408.8351886,536.3271431,2152.091734,1394.742059,2243.951859,4437.677065,4431.954081,2642.194563,1848.075529,1211.760217,5081.365466,11785.82642,2022.29648,3854.186144,-16071.80674,-8300.001908,1255.134651,3362.745603,3193.891683,4435.211839,4674.109237,4564.007255,5256.032556,4825.680829
5,country,Ireland,363.884,193.144,214.387,220.008,436.7149999,820.864,727.9669999,759.8068956,3904.756673,6108.922927,4628.70831,4065.288006,11025.36351,5549.448441,18068.82594,14312.54042,15323.5124,21145.90262,18948.98744,26615.52589,22348.33685,-1164.932474,22546.74969,23048.01116,39099.01293,168130.4782,39044.96248,-890.1842501,4962.37476,34255.92986,-10534.47949,37494.05673,-29558.01454,11289.52035,24931.53947
5,country,Italy,7613.528,7326.115,5946.708,7221.316,5109.541,5731.796,6465.318,12242.238,16079.357,6721.52,6685.91487,16003.33957,11371.59851,2173.60959,14282.83573,39362.28424,43796.51781,96230.96527,66999.67041,21275.47257,32685.29955,53667.29918,8007.251758,25141.22954,26361.37792,21644.29158,16180.73543,24530.71023,31542.316,24361.69784,2928.592151,29554.31972,17048.85302,21148.52299,37040.12382
5,country,Latvia,0,0,2.2999999,-4.810959926,-63.29254113,-66.25687333,2.977757422,6.085206665,54.598505,16.67216367,9.655426571,14.17436971,2.823396546,45.14499444,104.3005345,128.0903348,170.6097165,369.5400458,243.1610942,-62.51363144,41.05715553,61.16590557,192.7292257,411.7139252,542.0270216,71.00854322,160.5012065,141.2094305,206.667202,-104.1111594,254.7098478,2324.085091,107.4109332,706.0680766,145.0389116
5,country,Lithuania,0,0,0,0,0,1,0.1075,26.975,4.1825,8.6225,3.697499975,7.0975,16.65234321,37.99573324,262.8745972,393.2746356,308.8914006,554.1732021,614.0696525,554.8987765,42.24913747,749.4491593,540.9009963,131.9343914,58.98529353,377.1774104,43.15822098,78.5802239,699.4799072,381.6625545,-12.81544615,1341.286869,545.3948089,819.4498508,-3.61514899
5,country,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,10217.47479,850.6957555,6773.195,8211.019215,10035.0305,71293.66503,11506.1574,8268.305728,23252.71739,10715.79818,-13397.25091,46620.62554,43420.61563,31919.44968,-1240.840362,15019.03503,21857.12329,176767.3149,103045.5531,104480.9307,-192435.1112,-21134.4665,108598.4262
5,country,Malta,0,0,0,0.8684529244,3.106469077,1.288736443,72.85493902,33.83717737,21.26345029,58.32987971,20.02948213,8.74002255,-26.23025053,544.7790441,8729.633148,14262.71216,7528.946322,18682.86758,13982.82228,-4447.904057,-409.8865631,9699.158691,2600.591293,2661.974633,2280.805867,5269.055808,5408.622789,2721.626846,2234.385643,1221.803675,142.0270107,3448.809099,856.5530147,692.1680507,-101.3213305
5,country,Netherlands,14371.94377,13484.54395,13153.77156,9930.079593,17242.57293,19223.04191,31181.99699,24618.08363,36822.53929,57610.42459,75634.42049,50593.01483,32017.59917,55888.26162,40743.14131,119688.355,72582.76767,55605.10129,68491.59556,129619.0881,112233.796,108084.4507,77826.48973,172059.8977,182270.2696,378551.2038,217059.3965,159262.5479,-78551.95968,-133449.2363,-175362.4101,126012.8667,44882.16976,-195862.4581,54729.50601
5,country,Poland,5.357,-7,13,18,29.0457162,42.06220257,53.03957568,45.13172059,317.6612764,31.0049381,17.02687716,-210.8227603,136.0182409,-300.4549843,165.8624616,1346.738924,3857.455362,1680.183424,1858.589803,1806.360582,7226.544622,8942.099668,-789.2425703,-403.0538312,2751.082567,5083.777689,11650.78954,2244.81588,895.1974919,1898.746541,880.9300718,3234.740674,6614.818325,8523.064694,2166.049799
5,country,Portugal,147.5944886,413.8300218,600.8551878,138.3466183,282.4658755,678.4727672,711.7745127,2072.803109,4058.278746,3191.346509,8054.996315,6279.834632,-313.4986589,6770.969286,4086.548315,2628.359313,4497.682277,7355.900661,695.4915497,878.8134809,-10036.87592,13650.8529,-2314.361599,2626.645845,-3028.292809,5092.889693,1571.100294,-457.338334,1596.872868,4013.851937,2166.296476,1745.796161,4158.067633,5881.922783,7821.34916
